from,to,score
AT1G06070,AT4G15470,0.046565
AT3G17100,AT1G74840,0.046565
AT1G19490,AT1G73060,0.046556
AT1G22070,AT4G24190,0.04655
AT3G23210,AT5G15950,0.046546
AT1G02340,AT1G27670,0.046545
AT2G43060,AT5G39860,0.046545
AT1G19490,AT5G48540,0.046538
AT1G22070,AT1G04690,0.046537
AT2G40950,AT3G61690,0.04653
AT3G54620,AT4G16760,0.046529
AT2G46270,AT5G06960,0.046529
AT5G49450,AT1G13245,0.046524
AT3G10800,AT5G58160,0.046517
AT2G31280,AT1G08592,0.046516
AT3G26744,AT4G00570,0.046514
AT2G31370,AT2G04350,0.046509
AT1G08320,AT4G27870,0.046494
AT2G31280,AT1G52220,0.046485
AT5G15830,AT1G13700,0.046482
AT5G38860,AT5G02100,0.046471
AT3G54620,AT4G31080,0.046466
AT2G24260,AT1G64660,0.046463
AT2G21230,AT1G10130,0.046461
AT4G01120,AT1G48830,0.04646
AT4G02640,AT3G03790,0.046457
AT3G56850,AT2G46800,0.046455
AT1G06070,AT3G17740,0.046453
AT1G61660,AT2G15480,0.046448
AT2G21230,AT5G25270,0.046445
AT5G11260,AT3G18950,0.046444
AT3G56850,AT1G28960,0.046444
AT2G21230,AT1G67792,0.046439
AT4G17880,AT5G54300,0.046436
AT5G24800,AT3G03590,0.046434
AT4G38900,AT1G18500,0.046431
AT2G31280,AT1G52520,0.046429
AT2G31730,AT2G42260,0.046428
AT5G28770,AT3G51750,0.046427
AT3G62090,AT4G00840,0.046422
AT3G23210,AT4G22240,0.046422
AT4G02640,AT4G19110,0.046419
AT1G06070,AT3G59770,0.046417
AT5G38860,AT2G46170,0.046412
AT5G28770,AT3G27230,0.046401
AT4G25400,AT3G46640,0.046396
AT5G46760,AT3G07030,0.046396
AT5G46760,AT3G07180,0.046392
AT1G42990,AT3G59220,0.04639
AT3G23210,AT5G50240,0.046389
AT4G34000,AT2G46810,0.046389
AT3G07340,AT4G38670,0.046387
AT4G34000,AT1G01060,0.046381
AT4G01120,AT2G20490,0.046381
AT2G18300,AT4G28290,0.046373
AT1G01260,AT4G30410,0.046371
AT3G56850,AT5G59910,0.04637
AT5G49450,AT3G61950,0.046364
AT3G56850,AT2G40620,0.046361
AT2G22850,AT5G04340,0.046361
AT1G08320,AT4G07950,0.046355
AT1G45249,AT1G77680,0.046354
AT3G57800,AT1G33060,0.046352
AT2G24260,AT3G17740,0.04635
AT4G36730,AT3G04860,0.046344
AT5G54680,AT5G16140,0.046339
AT1G35460,AT4G20362,0.046335
AT2G40950,AT5G04280,0.046333
AT3G56850,AT1G48330,0.046329
AT1G22070,AT5G42650,0.046329
AT3G57800,AT5G42650,0.046325
AT3G58120,AT3G54650,0.046322
AT1G19490,AT5G57345,0.046322
AT2G22850,AT5G52200,0.046316
AT5G28770,AT5G37055,0.046315
AT3G54620,AT2G39805,0.046313
AT2G21230,AT3G48560,0.046309
AT5G49450,AT2G38650,0.046298
AT1G68920,AT3G09670,0.046294
AT4G36730,AT3G02990,0.04629
AT2G31280,AT5G40340,0.046289
AT4G34000,AT3G46450,0.046289
AT5G11260,AT3G62260,0.046286
AT1G06070,AT2G01980,0.046281
AT1G06070,AT5G16140,0.04628
AT3G19860,AT5G37055,0.046277
AT3G12250,AT5G42440,0.046276
AT4G36540,AT1G74310,0.046276
AT2G31370,AT5G04280,0.046275
AT3G54620,AT5G64430,0.046274
AT3G47640,AT1G66510,0.046272
AT1G06070,AT5G42092,0.046272
AT5G46760,AT2G31980,0.046271
AT1G10610,AT5G21930,0.04627
AT4G29100,AT4G35040,0.046259
AT1G19490,AT5G16420,0.046255
AT1G32150,AT3G55140,0.046253
AT3G06590,AT3G54740,0.046243
AT1G45249,AT1G66510,0.046235
AT3G62090,AT2G23460,0.046233
AT5G38860,AT3G53210,0.046233
AT2G31370,AT4G33080,0.046233
AT1G42990,AT5G60940,0.04623
AT5G46760,AT2G13560,0.046224
AT3G10800,AT2G18090,0.046224
AT5G62610,AT1G76440,0.04621
AT3G10800,AT1G02990,0.046205
AT4G35040,AT1G09870,0.046201
AT2G24260,AT1G06570,0.046185
AT3G12250,AT1G19150,0.046182
AT5G61270,AT2G04350,0.04618
AT4G01120,AT1G72650,0.046177
AT5G49450,AT1G23190,0.04616
AT1G49720,AT3G44160,0.046154
AT2G21230,AT3G23900,0.046154
AT2G22770,AT1G16190,0.046149
AT3G57800,AT3G61870,0.046148
AT2G21230,AT3G58640,0.046147
AT2G21230,AT3G20550,0.046146
AT1G22070,AT1G26670,0.046141
AT2G22770,AT4G20440,0.046141
AT3G10800,AT5G22730,0.046139
AT5G15830,AT2G29020,0.046138
AT4G09180,AT1G58520,0.046137
AT3G12250,AT1G09480,0.046129
AT5G11260,AT5G58770,0.046122
AT1G06850,AT1G69910,0.046121
AT2G40620,AT5G67250,0.046116
AT4G36730,AT3G51000,0.046111
AT3G47640,AT1G29950,0.046103
AT2G24260,AT5G56980,0.046103
AT4G36730,AT3G14595,0.0461
AT5G46760,AT5G24980,0.046095
AT4G02640,AT3G05210,0.046093
AT3G06590,AT5G17460,0.046093
AT2G13130,AT5G13820,0.046088
AT2G21230,AT3G59020,0.046087
AT4G00480,AT5G46870,0.046085
AT5G48560,AT2G35930,0.046079
AT3G56850,AT5G18920,0.046073
AT2G24260,AT4G39630,0.046073
AT4G36730,AT4G33890,0.046069
AT1G19490,AT5G63380,0.046068
AT2G41070,AT2G24050,0.046066
AT3G10800,AT3G05210,0.046066
AT1G43700,AT5G15830,0.046064
AT3G20640,AT3G22670,0.046061
AT3G20640,AT2G29550,0.046055
AT1G68640,AT2G21860,0.046042
AT1G49720,AT1G66130,0.04604
AT1G43700,AT5G63970,0.046037
AT3G23210,AT4G27657,0.046024
AT3G57800,AT1G78600,0.046024
AT3G54620,AT4G29730,0.046021
AT4G36730,AT1G08460,0.046006
AT2G24260,AT1G27670,0.046
AT4G17880,AT1G24580,0.045997
AT3G57800,AT3G06590,0.045992
AT1G45249,AT1G73670,0.045988
AT3G26744,AT2G26140,0.045983
AT3G10800,AT4G35580,0.045981
AT3G26744,AT4G19020,0.04598
AT5G46760,AT1G03370,0.04598
AT5G46760,AT2G40540,0.045975
AT4G01120,AT1G16220,0.045975
AT3G54620,AT3G61260,0.04597
AT3G17100,AT5G60890,0.045969
AT1G19490,AT4G16490,0.045968
AT3G56850,AT1G21920,0.045968
AT5G11260,AT3G46640,0.045966
AT1G09250,AT1G02560,0.045964
AT1G45249,AT1G73480,0.045964
AT5G49450,AT4G04020,0.045962
AT3G17100,AT3G61580,0.045962
AT1G45249,AT1G27730,0.045952
AT4G29100,AT3G53402,0.045942
AT2G43060,AT1G13260,0.04594
AT3G56850,AT1G35720,0.045922
AT3G62090,AT1G32760,0.045913
AT1G19490,AT2G46830,0.045911
AT4G34000,AT3G08720,0.045908
AT1G12860,AT3G47780,0.045906
AT1G19490,AT1G17050,0.045904
AT5G15830,AT4G09500,0.045902
AT1G12860,AT5G52070,0.04589
AT4G36730,AT1G14120,0.045889
AT1G45249,AT4G01070,0.045886
AT2G21230,AT3G49470,0.04588
AT4G34000,AT2G33700,0.045874
AT5G46760,AT3G59650,0.045864
AT4G29930,AT1G58520,0.045856
AT1G45249,AT2G46340,0.045853
AT1G19490,AT4G28290,0.045853
AT4G36540,AT4G28290,0.045849
AT2G24260,AT1G50575,0.045848
AT1G02340,AT3G25710,0.045847
AT5G10030,AT1G06210,0.045847
AT3G59060,AT3G18970,0.045846
AT3G10800,AT3G09500,0.045845
AT4G01120,AT5G59590,0.045831
AT3G56850,AT5G03770,0.045827
AT3G17100,AT1G33240,0.045823
AT5G46760,AT2G21640,0.045815
AT1G10610,AT3G57050,0.045812
AT1G42990,AT3G63490,0.04581
AT3G56850,AT5G53220,0.04581
AT1G45249,AT1G29950,0.045808
AT1G43700,AT3G57800,0.0458
AT2G31370,AT2G46340,0.045798
AT2G24260,AT1G04900,0.045796
AT1G68880,AT1G80460,0.045793
AT5G46760,AT1G74950,0.04579
AT2G40950,AT4G32620,0.045788
AT2G21230,AT3G62090,0.045787
AT5G08130,AT5G58320,0.045785
AT3G05800,AT5G59430,0.045783
AT2G21230,AT4G27870,0.045781
AT5G28770,AT3G03150,0.045776
AT1G32640,AT5G47120,0.045771
AT2G24260,AT5G08580,0.045768
AT4G00480,AT2G26040,0.045762
AT4G36540,AT1G58520,0.045761
AT1G19490,AT1G29950,0.045753
AT5G61270,AT3G01060,0.045752
AT2G18300,AT1G19970,0.045749
AT5G38860,AT3G12250,0.045734
AT3G26744,AT1G16590,0.045732
AT5G15830,AT1G63970,0.045709
AT1G19490,AT5G58070,0.045708
AT2G42280,AT1G05060,0.045707
AT3G23210,AT3G55640,0.045704
AT2G46270,AT3G63160,0.045695
AT1G68880,AT1G76065,0.045692
AT3G19290,AT5G14780,0.045689
AT4G02590,AT3G54110,0.045683
AT3G47640,AT1G20070,0.045678
AT5G51780,AT1G21680,0.045677
AT1G06070,AT1G06780,0.045677
AT4G17880,AT1G07150,0.045673
AT5G46760,AT3G15500,0.045673
AT3G23210,AT1G75690,0.045668
AT4G17880,AT2G45990,0.045657
AT3G10800,AT5G13850,0.045648
AT5G44080,AT5G47090,0.045646
AT1G06070,AT1G30300,0.04564
AT5G11260,AT1G19970,0.045637
AT5G48560,AT5G49550,0.045636
AT4G17880,AT1G62950,0.045632
AT4G17880,AT3G21220,0.045631
AT5G46760,AT3G10500,0.045631
AT4G36730,AT3G46970,0.045629
AT5G38860,AT1G45201,0.045628
AT5G38860,AT1G04985,0.045628
AT2G41070,AT3G25770,0.045625
AT4G36730,AT5G10745,0.04562
AT1G49720,AT5G62990,0.04561
AT4G38900,AT5G16210,0.045606
AT2G40950,AT5G63320,0.045599
AT4G02640,AT4G30900,0.045592
AT3G56850,AT4G03030,0.045587
AT1G42990,AT1G49780,0.045584
AT1G32640,AT3G50800,0.045581
AT3G17100,AT3G09690,0.045581
AT5G46760,AT4G18950,0.045572
AT1G01260,AT1G03610,0.04557
AT2G24260,AT3G19590,0.045568
AT3G47640,AT5G52420,0.045566
AT3G06590,AT4G07950,0.045564
AT3G54620,AT1G52220,0.045563
AT1G35460,AT3G51960,0.045554
AT4G34000,AT2G37860,0.045538
AT3G17100,AT1G73920,0.045528
AT5G28770,AT4G12130,0.045527
AT3G17100,AT1G33260,0.045527
AT3G10800,AT2G18790,0.045526
AT3G56850,AT3G49601,0.045525
AT3G10800,AT5G24710,0.045524
AT4G01120,AT1G21440,0.045522
AT1G02340,AT1G21680,0.045517
AT1G19490,AT3G61750,0.045516
AT1G43700,AT5G42650,0.045515
AT1G06070,AT3G19290,0.045512
AT3G57800,AT1G53170,0.045512
AT1G19490,AT1G70650,0.04551
AT2G18300,AT1G52342,0.045509
AT2G24260,AT3G48690,0.045498
AT4G02640,AT5G14750,0.045496
AT1G03970,AT1G70710,0.045494
AT3G58120,AT5G65210,0.04549
AT1G45249,AT5G43260,0.045481
AT3G59060,AT3G54110,0.045477
AT4G29100,AT1G04120,0.045474
AT1G77920,AT1G65150,0.045474
AT4G38900,AT4G02900,0.045469
AT3G17100,AT1G16740,0.045463
AT2G31730,AT1G17285,0.045457
AT5G46760,AT2G45820,0.045455
AT2G43010,AT4G17420,0.045454
AT3G26744,AT1G52618,0.045451
AT1G22070,AT3G25770,0.045449
AT3G10800,AT3G62700,0.045441
AT1G06070,AT1G68920,0.045441
AT1G63650,AT3G10985,0.045439
AT1G77920,AT2G18740,0.045438
AT1G31050,AT3G10340,0.045438
AT2G22850,AT5G24070,0.045438
AT3G58120,AT3G16620,0.045432
AT5G61270,AT2G36880,0.04543
AT2G31280,AT2G27350,0.04543
AT3G17100,AT1G19110,0.045429
AT5G49450,AT3G02990,0.045427
AT1G06070,AT3G46550,0.045426
AT3G17100,AT5G65840,0.04542
AT1G68920,AT4G26840,0.045418
AT3G19290,AT4G12680,0.045411
AT2G18300,AT5G50240,0.045408
AT1G22070,AT1G53750,0.045404
AT3G12250,AT1G10590,0.045401
AT1G09250,AT4G13430,0.04539
AT4G00050,AT3G05520,0.045388
AT2G41070,AT1G56340,0.045387
AT5G38860,AT1G20510,0.045386
AT3G10800,AT3G49500,0.045384
AT3G62090,AT2G43970,0.045383
AT2G40620,AT3G19553,0.045381
AT4G14410,AT1G50440,0.04538
AT3G59060,AT1G80480,0.045368
AT4G36730,AT5G13770,0.045365
AT3G20640,AT1G30690,0.04536
AT3G19860,AT4G16190,0.045358
AT4G00480,AT1G78650,0.04535
AT1G68880,AT3G10250,0.045343
AT1G51070,AT3G57560,0.045339
AT4G36730,AT1G43670,0.045335
AT1G09250,AT1G75460,0.045333
AT1G09250,AT3G56090,0.045329
AT1G68920,AT1G76380,0.045327
AT5G38860,AT1G10610,0.045325
AT4G14410,AT5G07590,0.045324
AT5G49450,AT1G72500,0.045322
AT2G24260,AT5G58970,0.04532
AT2G40620,AT1G48360,0.045319
AT4G34000,AT4G09550,0.045316
AT3G57800,AT1G01260,0.045313
AT5G46760,AT2G39810,0.045305
AT3G26744,AT1G08190,0.045298
AT1G19490,AT3G02468,0.045297
AT5G28770,AT1G13570,0.045297
AT3G47640,AT5G48540,0.045295
AT5G38860,AT2G29560,0.045295
AT1G22070,AT5G03160,0.045293
AT3G10800,AT4G29430,0.045292
AT4G36730,AT5G60890,0.045285
AT4G38900,AT1G24460,0.045281
AT2G21230,AT5G41100,0.045262
AT3G26744,AT1G79090,0.045259
AT3G19290,AT4G00810,0.045252
AT4G14410,AT1G77660,0.045251
AT1G68880,AT3G48990,0.04525
AT1G22070,AT5G39790,0.045246
AT2G31280,AT5G63640,0.045244
AT5G48560,AT1G31050,0.045242
AT4G02640,AT2G27350,0.045241
AT4G36730,AT4G08290,0.045235
AT3G62090,AT4G34138,0.045233
AT5G65210,AT1G72820,0.045232
AT1G09250,AT3G23670,0.045227
AT4G00050,AT4G02370,0.045215
AT2G31370,AT5G01270,0.045208
AT1G22070,AT5G04885,0.045208
AT1G01260,AT3G17100,0.045207
AT4G36730,AT1G63970,0.045205
AT5G46760,AT1G09870,0.045202
AT4G01120,AT1G09490,0.045197
AT4G38900,AT5G24710,0.045196
AT3G26744,AT3G43210,0.045179
AT5G10030,AT1G27700,0.045177
AT5G28770,AT4G02590,0.045177
AT5G38860,AT2G15970,0.045169
AT4G36730,AT1G22310,0.045168
AT3G62090,AT3G61060,0.045167
AT1G10610,AT5G22000,0.045166
AT2G31280,AT3G17770,0.045165
AT3G56850,AT3G54650,0.045159
AT2G31280,AT5G51690,0.045155
AT1G49720,AT4G24240,0.045154
AT2G46270,AT5G11630,0.045152
AT4G34000,AT1G73670,0.045142
AT5G11260,AT4G01070,0.045128
AT5G65210,AT1G62280,0.045125
AT3G47640,AT4G01070,0.045124
AT2G42280,AT4G10730,0.045122
AT2G46270,AT2G17560,0.045119
AT4G30980,AT1G72050,0.045119
AT3G23690,AT4G16430,0.045119
AT1G12860,AT2G42640,0.045113
AT1G68920,AT5G25100,0.045112
AT4G34000,AT1G02816,0.045112
AT5G08130,AT4G03390,0.045111
AT2G18300,AT1G79520,0.045104
AT5G38860,AT2G41710,0.045097
AT3G06590,AT3G11450,0.045095
AT3G10800,AT3G07160,0.045086
AT4G36540,AT1G70580,0.045084
AT2G18300,AT5G49230,0.045082
AT3G57800,AT5G17190,0.045081
AT1G68880,AT5G64260,0.045077
AT4G01120,AT4G34138,0.04507
AT1G68920,AT1G50260,0.045069
AT3G57800,AT1G02660,0.045066
AT2G31370,AT5G63380,0.045064
AT3G47640,AT1G73480,0.045061
AT3G47640,AT3G55640,0.045059
AT1G35460,AT5G02810,0.045058
AT1G68880,AT1G32550,0.045058
AT4G36730,AT1G20890,0.045052
AT5G54680,AT3G48990,0.045049
AT5G49450,AT3G18210,0.045049
AT5G28770,AT5G20190,0.045043
AT5G11260,AT4G04970,0.045041
AT2G24260,AT1G14360,0.045041
AT1G06070,AT1G07080,0.04504
AT3G17100,AT3G15780,0.045031
AT1G42990,AT3G48800,0.045024
AT3G06590,AT5G14620,0.045023
AT3G23210,AT5G59480,0.045023
AT2G31370,AT4G14270,0.045021
AT2G21230,AT3G63070,0.045017
AT2G41070,AT1G75560,0.045017
AT4G38900,AT3G46920,0.045017
AT4G36730,AT5G56600,0.045005
AT3G54620,AT1G78370,0.045005
AT2G40950,AT1G31420,0.045004
AT5G15830,AT1G20450,0.044995
AT3G54620,AT5G59590,0.044987
AT5G61270,AT1G52342,0.044982
AT1G26260,AT5G38590,0.044982
AT5G46760,AT4G25520,0.044982
AT4G02640,AT1G66890,0.044977
AT5G44080,AT5G18200,0.044976
AT3G23690,AT5G52990,0.044974
AT1G22070,AT3G62600,0.044973
AT2G22850,AT3G05160,0.04497
AT1G62975,AT1G12370,0.044967
AT5G28770,AT3G12560,0.044964
AT4G36540,AT1G78895,0.044964
AT2G21230,AT3G54440,0.044958
AT5G57150,AT5G42650,0.044956
AT1G71200,AT3G14160,0.044954
AT4G36730,AT1G74090,0.044951
AT2G47270,AT2G46610,0.044948
AT1G42990,AT1G18040,0.044947
AT1G45249,AT5G02270,0.04494
AT1G06850,AT1G70710,0.044939
AT1G45249,AT4G18010,0.044933
AT1G68920,AT2G35680,0.044928
AT1G68920,AT4G36032,0.044925
AT2G31370,AT1G19860,0.044922
AT4G35040,AT3G15430,0.04492
AT3G56850,AT4G39630,0.044906
AT1G43700,AT1G10610,0.044906
AT3G10800,AT5G55670,0.044904
AT2G46270,AT4G38430,0.044902
AT4G34000,AT3G58180,0.044902
AT3G56850,AT5G63620,0.044883
AT3G19860,AT1G70710,0.044876
AT3G26744,AT4G24200,0.044866
AT3G58120,AT1G70950,0.044862
AT4G17880,AT5G54930,0.044861
AT3G20640,AT3G20500,0.044857
AT4G36540,AT5G35460,0.044852
AT2G21230,AT2G22010,0.044846
AT4G36060,AT4G00026,0.044844
AT4G36540,AT5G61270,0.044842
AT3G10800,AT1G10130,0.044831
AT3G23210,AT1G58520,0.04483
AT3G56850,AT1G15740,0.044826
AT1G06850,AT3G59060,0.044826
AT3G19860,AT5G16340,0.044825
AT4G36540,AT1G13700,0.044824
AT1G19490,AT3G23920,0.044822
AT5G49450,AT4G16500,0.044821
AT4G01460,AT5G59550,0.044819
AT2G24260,AT5G46410,0.044817
AT3G54620,AT5G09650,0.044817
AT1G68920,AT5G03070,0.044817
AT1G22070,AT3G59820,0.0448
AT3G56850,AT4G09320,0.044798
AT1G74500,AT1G71200,0.044796
AT4G29930,AT3G53350,0.044792
AT4G34000,AT3G52110,0.04479
AT3G26744,AT3G61680,0.044781
AT4G30980,AT1G64990,0.044778
AT5G11260,AT1G73480,0.044775
AT1G43700,AT4G09500,0.044775
AT2G21230,AT5G64430,0.044773
AT5G49450,AT3G05710,0.044771
AT5G51790,AT1G23710,0.044771
AT3G57800,AT5G09590,0.044763
AT5G67110,AT4G31360,0.044756
AT1G73830,AT3G22968,0.044755
AT2G40620,AT1G66730,0.044755
AT5G49450,AT5G06710,0.044752
AT4G02640,AT1G67310,0.044751
AT4G14410,AT1G13250,0.04475
AT4G36540,AT1G66510,0.04475
AT1G19490,AT1G02700,0.044738
AT2G21230,AT4G36890,0.044732
AT4G36730,AT3G51750,0.04473
AT3G56850,AT2G38980,0.044728
AT2G31280,AT1G03370,0.044727
AT2G16770,AT1G09486,0.044726
AT5G24800,AT2G34560,0.044725
AT5G46690,AT1G68620,0.04472
AT5G61270,AT1G19140,0.044703
AT4G36060,AT1G13600,0.044697
AT4G36730,AT1G04690,0.044693
AT2G31280,AT1G66730,0.04469
AT4G17880,AT3G16910,0.044688
AT5G28770,AT1G06210,0.044686
AT4G36730,AT3G59670,0.044684
AT1G62975,AT5G15910,0.044684
AT5G08130,AT3G57880,0.044683
AT4G29100,AT2G21640,0.044673
AT1G68880,AT5G63620,0.044671
AT2G21230,AT1G69960,0.04467
AT5G28770,AT3G57540,0.044659
AT2G21230,AT4G36050,0.044655
AT5G54680,AT5G13880,0.044651
AT5G54680,AT4G38430,0.04465
AT2G31280,AT1G67310,0.044642
AT1G42990,AT1G49870,0.04464
AT3G06590,AT1G27660,0.044636
AT1G19490,AT3G54500,0.04462
AT4G36060,AT5G01075,0.044619
AT1G68920,AT3G50070,0.044615
AT3G10800,AT5G58320,0.044612
AT1G06070,AT3G61050,0.044607
AT1G19490,AT5G08430,0.044606
AT4G36540,AT4G14540,0.044605
AT1G32640,AT2G42800,0.044591
AT5G46760,AT3G26400,0.04459
AT1G45249,AT5G48540,0.044589
AT1G68880,AT2G22850,0.044586
AT2G21230,AT4G25520,0.044585
AT3G10800,AT3G07030,0.044582
AT2G24260,AT2G42620,0.044581
AT1G03040,AT2G46510,0.044581
AT3G10800,AT2G39270,0.044581
AT3G19290,AT4G11010,0.044572
AT3G54620,AT4G02005,0.044564
AT3G17100,AT1G20510,0.044564
AT2G24260,AT2G45910,0.044559
AT5G11260,AT1G07150,0.044557
AT5G48560,AT4G35040,0.044555
AT2G46270,AT2G41010,0.044552
AT3G10800,AT3G08530,0.044549
AT2G43060,AT3G61460,0.044548
AT3G10800,AT1G73970,0.044542
AT4G36540,AT2G41710,0.044539
AT4G36540,AT1G76570,0.044531
AT5G28770,AT2G02180,0.044524
AT3G56850,AT4G36980,0.044519
AT2G24260,AT4G29540,0.044519
AT5G11260,AT1G19310,0.044511
AT2G31730,AT3G50060,0.044506
AT3G19290,AT3G59650,0.044506
AT1G06070,AT2G46500,0.044499
AT2G41070,AT1G78600,0.044497
AT4G36730,AT3G62090,0.044495
AT1G10610,AT1G20490,0.044495
AT5G54680,AT1G77920,0.044495
AT5G10030,AT5G02280,0.044495
AT2G41070,AT2G22900,0.044491
AT4G34000,AT3G13740,0.044486
AT3G10800,AT4G17940,0.044486
AT4G36540,AT2G37480,0.044485
AT1G22070,AT4G39730,0.044483
AT1G10610,AT2G32415,0.044477
AT1G22070,AT5G18670,0.044475
AT5G65640,AT1G28530,0.044472
AT3G10800,AT1G76380,0.044472
AT5G15830,AT3G13550,0.04447
AT1G10610,AT4G36780,0.04446
AT3G54620,AT2G26740,0.044451
AT1G19490,AT1G18210,0.04445
AT4G17880,AT1G73480,0.044445
AT2G24260,AT5G44720,0.044445
AT5G65210,AT5G27920,0.044445
AT3G20640,AT3G02230,0.044445
AT4G29100,AT2G20370,0.044442
AT5G04150,AT3G14150,0.044435
AT3G17100,AT4G36730,0.044434
AT1G68920,AT1G15200,0.044424
AT4G34000,AT3G61420,0.044424
AT1G06070,AT5G16390,0.044423
AT2G18300,AT4G01280,0.044422
AT3G19860,AT3G11450,0.044419
AT4G36730,AT2G36880,0.044418
AT1G45249,AT1G74510,0.044413
AT3G62090,AT1G62310,0.044404
AT5G08130,AT1G67785,0.044404
AT5G28770,AT4G07950,0.044403
AT1G08320,AT2G02180,0.044401
AT1G43700,AT3G03310,0.044398
AT4G36540,AT5G01260,0.044395
AT1G62975,AT3G61750,0.044392
AT1G12860,AT1G04010,0.044392
AT5G61270,AT1G80300,0.044387
AT2G43060,AT2G29330,0.044379
AT2G21230,AT3G46560,0.044375
AT1G73830,AT2G46610,0.044372
AT3G26744,AT1G04010,0.044369
AT1G68920,AT2G21470,0.044361
AT2G24260,AT3G56330,0.04436
AT1G06070,AT1G07810,0.044356
AT4G38900,AT2G21230,0.044353
AT3G23210,AT5G16200,0.044353
AT2G40950,AT4G17330,0.044351
AT5G24800,AT1G56340,0.044349
AT5G28770,AT4G34240,0.044349
AT3G57800,AT5G65940,0.044345
AT2G46270,AT1G71960,0.044343
AT2G31370,AT1G74510,0.044338
AT5G57150,AT5G10070,0.044337
AT5G28770,AT2G42780,0.044328
AT3G56850,AT5G03150,0.044325
AT1G06070,AT3G09670,0.044323
AT4G34000,AT4G30960,0.044304
AT2G41070,AT1G79470,0.0443
AT4G01120,AT1G12810,0.044296
AT2G31280,AT4G02005,0.044292
AT3G54620,AT3G27020,0.044287
AT3G47640,AT1G24580,0.044286
AT3G47640,AT3G23920,0.044285
AT4G01120,AT4G29730,0.044284
AT5G28770,AT5G43870,0.044284
AT3G10800,AT3G58180,0.044281
AT4G29100,AT4G34480,0.044276
AT1G06070,AT1G73970,0.044275
AT4G17880,AT3G55640,0.044274
AT5G46760,AT4G02640,0.04426
AT5G48560,AT2G28890,0.04426
AT3G10800,AT2G35630,0.04426
AT5G46760,AT1G73970,0.044258
AT3G56850,AT2G47350,0.044257
AT3G47640,AT1G52342,0.04424
AT2G46270,AT3G12300,0.044239
AT2G21230,AT4G29420,0.044233
AT4G36540,AT3G21220,0.044231
AT5G46760,AT3G26744,0.044228
AT1G43700,AT5G57660,0.044226
AT1G61660,AT5G61820,0.044224
AT3G54620,AT1G67310,0.044224
AT1G77920,AT2G45720,0.044222
AT5G11260,AT4G28290,0.044219
AT5G11260,AT1G29950,0.044219
AT3G10800,AT5G05370,0.044216
AT4G38900,AT1G10130,0.044216
AT3G26744,AT4G21060,0.044205
AT2G46270,AT4G12790,0.044204
AT3G17100,AT5G16800,0.044199
AT1G06070,AT4G16760,0.044184
AT5G46760,AT1G74780,0.044178
AT4G36060,AT4G09020,0.044176
AT2G42280,AT5G04090,0.044176
AT1G68640,AT1G55520,0.04417
AT3G19860,AT3G52880,0.044169
AT1G68920,AT5G24980,0.044165
AT2G21230,AT1G11480,0.044163
AT4G21340,AT5G45472,0.044161
AT2G46270,AT3G10815,0.044153
AT1G43700,AT1G02340,0.04415
AT5G10030,AT2G20180,0.044149
AT2G40950,AT2G34650,0.044143
AT3G05800,AT3G50360,0.044142
AT4G36730,AT3G62600,0.044141
AT2G31730,AT5G52210,0.044141
AT1G10610,AT5G38860,0.04414
AT1G61660,AT4G40010,0.04414
AT3G17100,AT5G42960,0.04414
AT4G02640,AT3G53390,0.044132
AT3G17100,AT5G24155,0.044128
AT3G58120,AT5G63970,0.044126
AT2G31370,AT1G07510,0.044116
AT1G10120,AT1G56340,0.044116
AT2G24260,AT2G24360,0.044115
AT1G62975,AT2G23430,0.044104
AT5G67110,AT1G68640,0.044097
AT2G24260,AT3G61060,0.044093
AT2G31280,AT1G73970,0.04409
AT5G28770,AT5G47090,0.04409
AT5G46760,AT3G61050,0.044089
AT5G28770,AT3G54650,0.044086
AT1G06070,AT4G25450,0.044079
AT3G47640,AT4G17880,0.044077
AT5G24800,AT1G20260,0.044071
AT1G68920,AT1G16540,0.044066
AT3G56850,AT1G03520,0.044063
AT2G41070,AT1G43670,0.044063
AT4G02590,AT1G08660,0.04406
AT3G54620,AT1G60430,0.044055
AT1G35460,AT2G37250,0.044053
AT3G57800,AT3G20550,0.04405
AT1G43700,AT1G44350,0.044047
AT3G56850,AT5G56600,0.044047
AT5G46760,AT1G69340,0.044038
AT4G01460,AT1G73830,0.044037
AT3G57800,AT5G16505,0.044037
AT3G17100,AT1G02840,0.044036
AT3G12250,AT5G13930,0.044035
AT1G63650,AT1G73170,0.044035
AT3G56850,AT3G03310,0.044035
AT4G30410,AT1G14290,0.044035
AT2G21230,AT5G11530,0.044031
AT3G54620,AT4G08980,0.044029
AT4G00480,AT1G64660,0.044028
AT1G13600,AT3G10815,0.044024
AT5G61270,AT5G02280,0.044011
AT2G31370,AT1G18900,0.044008
AT5G10030,AT3G51470,0.044008
AT3G10800,AT2G21300,0.043999
AT5G10030,AT3G58120,0.043996
AT3G23210,AT4G04020,0.043995
AT3G10800,AT5G16140,0.043993
AT2G46810,AT1G09795,0.043991
AT4G02590,AT3G14870,0.043988
AT2G18300,AT2G30150,0.043982
AT1G19490,AT5G15910,0.043981
AT2G24260,AT5G63620,0.043976
AT3G58120,AT1G72820,0.043976
AT1G13600,AT1G79440,0.043976
AT3G54620,AT3G61860,0.043974
AT2G40620,AT3G26890,0.043967
AT5G46760,AT1G48840,0.043966
AT1G22070,AT4G01550,0.043966
